code_dot,code_iata,city_name,airport_name,latitude,longitude
10001.0,01A,"Afognak Lake, AK",Afognak Lake Airport,58.10944444,-152.90666667
10003.0,03A,"Granite Mountain, AK",Bear Creek Mining Strip,65.54805556,-161.07166667
10004.0,04A,"Lik, AK",Lik Mining Camp,68.08333333,-163.16666667
10005.0,05A,"Little Squaw, AK",Little Squaw Airport,67.57,-148.18388889
10006.0,06A,"Kizhuyak, AK",Kizhuyak Bay,57.74527778,-152.88277778
10007.0,07A,"Klawock, AK",Klawock Seaplane Base,55.55472222,-133.10166667
10008.0,08A,"Elizabeth Island, AK",Elizabeth Island Airport,59.15694444,-151.82916667
10009.0,09A,"Homer, AK",Augustin Island,59.36277778,-153.43055556
16923.0,1AK,"Mertarvik, AK",Mertarvik Quarry Road Landing Strip,60.81833333,-164.51888889
10010.0,1B1,"Hudson, NY",Columbia County,42.28888889,-73.71027778
10010.0,1B1,"Hudson, NY",Columbia County,42.29138889,-73.71027778
16843.0,1CA,"Rio Vista, CA",Rio Vista Municipal,38.19333333,-121.70361111
13750.0,1FL,"Titusville, FL",Space Florida Launch Landing Facility,28.615,-80.69444444
13750.0,1FL,"Titusville, FL",Space Florida Launch Landing Facility,28.61472222,-80.69472222
10011.0,1G4,"Peach Springs, AZ",Grand Canyon West,35.98611111,-113.81694444
10011.0,1G4,"Peach Springs, AZ",Grand Canyon West,35.99027778,-113.81638889
10011.0,DQR,"Peach Springs, AZ",Grand Canyon West,35.98611111,-113.81694444
10011.0,DQR,"Peach Springs, AZ",Grand Canyon West,35.99027778,-113.81638889
11398.0,1G4,"Peach Springs, AZ",Grand Canyon West,35.98611111,-113.81694444
11398.0,1G4,"Peach Springs, AZ",Grand Canyon West,35.98861111,-113.81
11398.0,1G4,"Peach Springs, AZ",Grand Canyon West,35.99027778,-113.81638889
11398.0,DQR,"Peach Springs, AZ",Grand Canyon West,35.98611111,-113.81694444
11398.0,DQR,"Peach Springs, AZ",Grand Canyon West,35.98861111,-113.81
11398.0,DQR,"Peach Springs, AZ",Grand Canyon West,35.99027778,-113.81638889
16842.0,1GA,"Hampton, GA",Atlanta Speedway,33.39,-84.33111111
10012.0,1N7,"Blairstown, NJ",Blairstown Airport,40.97111111,-74.9975
14668.0,1NC,"Roanoke Rapids, NC",Halifax Northampton Regional,36.43944444,-77.70944444
16990.0,1NJ,"Andover, NJ",Aeroflex Andover,41.0086111,-74.73805556
16571.0,1NY,"Penn Yan, NY",Penn Yan Airport,42.63694444,-77.05277778
16571.0,1NY,"Penn Yan, NY",Penn Yan Airport,42.63722222,-77.05277778
16935.0,1OH,"Willoughby, OH",Lake County Executive,41.68416667,-81.38972222
16959.0,1PA,"Connellsville, PA",Joseph A Hardy Connellsville,39.95916667,-79.6575
16840.0,1TN,"Lexington Parsons, TN",Beech River Regional,35.65638889,-88.19527778
16853.0,1TX,"Dumas, TX",Moore County,35.8575,-102.01333333
16951.0,1VA,"Warrenton, VA",Warrenton Fauquier,38.58638889,-77.71055556
16908.0,1WA,"Deer Park, WA",Deer Park Airport,47.96694444,-117.42861111
16982.0,2AK,"Deerpark, AK",Deer Park,56.51972222,-134.67944444
16844.0,2CA,"Delano, CA",Delano Municipal,35.74555556,-119.23638889
16901.0,2FL,"West Palm Beach, FL",North Palm Beach County Gen Aviation,26.84583333,-80.22222222
16848.0,2GA,"Camilla, GA",Camilla Mitchell County,31.21305556,-84.23527778
16934.0,2NC,"Asheboro, NC",Asheboro Regional,35.65444444,-79.89472222
17008.0,2NJ,"Williamstown, NJ",Southern Cross,39.65555556,-75.01444444
16830.0,2NY,"Port Washington, NY",Sands Point Seaplane Base,40.8275,-73.71694444
16898.0,2TN,"Dayton, TN",Mark Anton,35.48611111,-84.93111111
16897.0,2TX,"Brenham, TX",Brenham Municipal,30.21972222,-96.37444444
16980.0,2VA,"Williamsburg, VA",Camp Peary Landing Strip,37.31277777,-76.63833333
16983.0,2WK,"Odessa, WA",Odessa Municipal,47.3475,-118.67722222
16992.0,3AK,"Tintina, AK",Gold Mining Landing Strip,64.40972222,-155.49111111
16907.0,3CA,"Garberville, CA",Garberville Airport,40.08555556,-123.81416667
16875.0,3GA,"Blakely, GA",Early County,31.3975,-84.89472222
16991.0,3NC,"Hendersonville, NC",Hendersonville Airport,35.30749999,-82.43305556
16831.0,3NY,"Suffolk, NY",Sebonac,40.89861111,-72.41055556
16940.0,3TN,"Elizabethon, TN",Elizabethton Municipal,36.37166667,-82.17277778
16880.0,3TX,"Lancaster, TX",Lancaster Regional,32.5775,-96.7175
16994.0,4AK,"North Pole, AK",Bradley Sky Ranch,64.75916667,-147.38777778
16920.0,4CA,"Davis, CA",University,38.53138889,-121.78638889
16914.0,4CL,"El Mirage, CA",El Mirage Field Adelanto,34.625,-117.605
16914.0,4CL,"El Mirage, CA",El Mirage Field Adelanto,34.62555556,-117.59833333
16913.0,4GA,"Atlanta, GA",Paulding Memorial Hospital Heliport,33.91972221,-84.85277778
16904.0,4NY,"Millbrook, NY",Johnson Landing Strip,41.81916667,-73.64333333
16900.0,4TX,"Lajitas, TX",Lajitas International,29.27722222,-103.68583333
16995.0,5AK,"Lawing, AK",Lawing Airport,60.41194444,-149.36944444
17002.0,5GA,"Calhoun, GA",Tom B David Field,34.45527778,-84.93916667
16925.0,5NY,"Malone, NY",Malone Dufort,44.85361111,-74.32888889
16909.0,5TX,"Edinburg, TX",South Texas International at Edinburg,26.44166667,-98.12222222
16429.0,6B0,"Middlebury, VT",Middlebury State,43.98472222,-73.09583333
16429.0,6B0,"Middlebury, VT",Middlebury State,43.98555556,-73.09555556
16429.0,6B0,"Middlebury, VT",Middlebury State,43.98638889,-73.09555556
17007.0,6GA,"Cornelia, GA",Habersham County,34.49972222,-83.55666667
16955.0,6NY,"New York, NY",Sag Harbor,41.00888889,-72.27527778
16916.0,6TX,"Leakey, TX",Real County,29.74555556,-99.76083333
16567.0,7AK,"Akun, AK",Akun Airport,54.14472222,-165.60416667
16956.0,7NY,"New York, NY",Shelter Island,41.07916667,-72.33916667
16919.0,7TX,"Graford, TX",Possum Kingdom,32.92333333,-98.43694444
10013.0,8F3,"Crosbyton, TX",Crosbyton Municipal,33.62388889,-101.24083333
16957.0,8NY,"New York, NY",Noyack,41.0161111,-72.33916667
16926.0,8TX,"Waco, TX",McGregor Exec,31.485,-97.31666667
16965.0,9NY,"Shelter Island, NY",Sbnysh,41.09277778,-72.31583333
16942.0,9TX,"Center, TX",Center Municipal,31.83166667,-94.15638889
10014.0,A01,"Fairbanks/Ft. Wainwright, AK",Blair Lake,64.36361111,-147.36388889
10014.0,A01,"Fairbanks/Ft. Wainwright, AK",Blair Lake,64.36416667,-147.36138889
10015.0,A02,"Deadmans Bay, AK",Deadmans Bay Airport,57.06666667,-153.93777778
10016.0,A03,"Hallo Bay, AK",Hallo Bay Airport,58.4575,-154.02333333
10017.0,A04,"Red Lake, AK",Red Lake Airport,57.27722222,-154.34222222
10018.0,A05,"Shell Lake, AK",Shell Lake Airport,61.96388889,-151.55583333
10019.0,A06,"Kougarok, AK",Navigator Airstrip,65.65555556,-165.35638889
10020.0,A07,"Selawik, AK",Roland Norton Memorial,66.76611111,-160.15277778
10020.0,A07,"Selawik, AK",Roland Norton Memorial,66.76583333,-160.1525
10021.0,A08,"Pillar Bay, AK",Pillar Bay Airport,56.59805556,-134.24277778
10022.0,A09,"Johnstone Point, AK",Johnstone Point Airport,60.48166667,-146.58416667
10022.0,A09,"Johnstone Point, AK",Johnstone Point Airport,60.48222222,-146.58222222
10022.0,A09,"Johnstone Point, AK",Johnstone Point Airport,60.48138889,-146.58222222
10024.0,A11,"Bell Creek, AK",Bell Creek Airport,60.78388889,-159.54027778
10025.0,A12,"Cinnabar, AK",Cinnabar Airport,60.78527778,-158.86444444
10026.0,A13,"Mountaintop Mine, AK",Mountaintop Mine Airport,61.39027778,-157.99555556
10027.0,A14,"Whitebear, AK",Whitebear Airport,61.18888889,-159.85833333
10028.0,A15,"Puviaq, AK",Puviaq Airport,70.71555556,-154.40694444
10028.0,A15,"Puviaq, AK",Puviaq Airport,70.71861111,-154.38833333
10029.0,A16,"Arley Lake, AK",Arley Lake Airport,70.74694444,-155.36083333
10030.0,A17,"Port Vita, AK",Port Vita Airport,58.06555556,-153.0725
10031.0,A18,"Kantishna, AK",Kantishna Airport,63.54111111,-150.995
10031.0,A18,"Kantishna, AK",Kantishna Airport,63.54166667,-150.99388889
16668.0,A1K,"Deadhorse1, AK",Point Thomson Airstrip,70.13611111,-146.29
16811.0,A1L,"Cullman, AL",Cullman Regional Folsom Field,34.26861111,-86.85805556
10033.0,A20,"Alpine, AK",Alpine Airstrip,70.34416667,-150.94472222
10033.0,DQH,"Alpine, AK",Alpine Airstrip,70.34416667,-150.94472222
11388.0,A20,"Alpine, AK",Alpine Airstrip,70.34833333,-150.93166667
11388.0,A20,"Alpine, AK",Alpine Airstrip,70.34416667,-150.94472222
