Code_dot,Code_iata,City_name,Airport_name
10001.0,01A,"Afognak Lake, AK",Afognak Lake Airport
10003.0,03A,"Granite Mountain, AK",Bear Creek Mining Strip
10004.0,04A,"Lik, AK",Lik Mining Camp
10005.0,05A,"Little Squaw, AK",Little Squaw Airport
10006.0,06A,"Kizhuyak, AK",Kizhuyak Bay
10007.0,07A,"Klawock, AK",Klawock Seaplane Base
10008.0,08A,"Elizabeth Island, AK",Elizabeth Island Airport
10009.0,09A,"Homer, AK",Augustin Island
16923.0,1AK,"Mertarvik, AK",Mertarvik Quarry Road Landing Strip
10010.0,1B1,"Hudson, NY",Columbia County
16843.0,1CA,"Rio Vista, CA",Rio Vista Municipal
13750.0,1FL,"Titusville, FL",Space Florida Launch Landing Facility
10011.0,1G4,"Peach Springs, AZ",Grand Canyon West
11398.0,1G4,"Peach Springs, AZ",Grand Canyon West
10011.0,DQR,"Peach Springs, AZ",Grand Canyon West
11398.0,DQR,"Peach Springs, AZ",Grand Canyon West
16842.0,1GA,"Hampton, GA",Atlanta Speedway
10012.0,1N7,"Blairstown, NJ",Blairstown Airport
14668.0,1NC,"Roanoke Rapids, NC",Halifax Northampton Regional
16990.0,1NJ,"Andover, NJ",Aeroflex Andover
16571.0,1NY,"Penn Yan, NY",Penn Yan Airport
16935.0,1OH,"Willoughby, OH",Lake County Executive
16959.0,1PA,"Connellsville, PA",Joseph A Hardy Connellsville
16840.0,1TN,"Lexington Parsons, TN",Beech River Regional
16853.0,1TX,"Dumas, TX",Moore County
16951.0,1VA,"Warrenton, VA",Warrenton Fauquier
16908.0,1WA,"Deer Park, WA",Deer Park Airport
16982.0,2AK,"Deerpark, AK",Deer Park
16844.0,2CA,"Delano, CA",Delano Municipal
16901.0,2FL,"West Palm Beach, FL",North Palm Beach County Gen Aviation
16848.0,2GA,"Camilla, GA",Camilla Mitchell County
16934.0,2NC,"Asheboro, NC",Asheboro Regional
17008.0,2NJ,"Williamstown, NJ",Southern Cross
16830.0,2NY,"Port Washington, NY",Sands Point Seaplane Base
16898.0,2TN,"Dayton, TN",Mark Anton
16897.0,2TX,"Brenham, TX",Brenham Municipal
16980.0,2VA,"Williamsburg, VA",Camp Peary Landing Strip
16983.0,2WK,"Odessa, WA",Odessa Municipal
16992.0,3AK,"Tintina, AK",Gold Mining Landing Strip
16907.0,3CA,"Garberville, CA",Garberville Airport
16875.0,3GA,"Blakely, GA",Early County
16991.0,3NC,"Hendersonville, NC",Hendersonville Airport
16831.0,3NY,"Suffolk, NY",Sebonac
16940.0,3TN,"Elizabethon, TN",Elizabethton Municipal
16880.0,3TX,"Lancaster, TX",Lancaster Regional
16994.0,4AK,"North Pole, AK",Bradley Sky Ranch
16920.0,4CA,"Davis, CA",University
16914.0,4CL,"El Mirage, CA",El Mirage Field Adelanto
16913.0,4GA,"Atlanta, GA",Paulding Memorial Hospital Heliport
16904.0,4NY,"Millbrook, NY",Johnson Landing Strip
16900.0,4TX,"Lajitas, TX",Lajitas International
16995.0,5AK,"Lawing, AK",Lawing Airport
17002.0,5GA,"Calhoun, GA",Tom B David Field
16925.0,5NY,"Malone, NY",Malone Dufort
16909.0,5TX,"Edinburg, TX",South Texas International at Edinburg
16429.0,6B0,"Middlebury, VT",Middlebury State
17007.0,6GA,"Cornelia, GA",Habersham County
16955.0,6NY,"New York, NY",Sag Harbor
