source,target
8471681, 8474597
8471681, 8467917
8471681, 8473573
8471681, 8477505
 8474597, 8467917
 8474597, 8473573
 8474597, 8477505
 8467917, 8473573
 8467917, 8477505
 8473573, 8477505
8475726, 8474100
8475726, 8470604
8475726, 8474162
8475726, 8470121
 8474100, 8470604
 8474100, 8474162
 8474100, 8470121
 8470604, 8474162
 8470604, 8470121
 8474162, 8470121
8474100, 8474162
8474100, 8470604
8474100, 8470121
8474100, 8475726
 8474162, 8475726
 8470604, 8475726
 8470121, 8475726
8474715, 8475793
8474715, 8468486
8474715, 8475233
8474715, 8471677
 8475793, 8468486
 8475793, 8475233
 8475793, 8471677
 8468486, 8475233
 8468486, 8471677
 8475233, 8471677
8470604, 8474100
8470604, 8475726
8470604, 8475188
8470604, 8473571
 8474100, 8475726
 8474100, 8475188
 8474100, 8473571
 8475726, 8475188
 8475726, 8473571
 8475188, 8473571
8475188, 8473571
8475188, 8470606
8475188, 8468483
8475188, 8471685
 8473571, 8470606
 8473571, 8468483
 8473571, 8471685
 8470606, 8468483
 8470606, 8471685
 8468483, 8471685
8473422, 8473573
8473422, 8475233
8473422, 8475793
8473422, 8471677
8473422, 8471273
 8473573, 8475233
 8473573, 8475793
 8473573, 8471677
 8473573, 8471273
 8475233, 8471273
 8475793, 8471273
 8471677, 8471273
8471284, 8470595
8471284, 8473482
8471284, 8473533
8471284, 8475753
 8470595, 8473482
 8470595, 8473533
 8470595, 8475753
 8473482, 8473533
 8473482, 8475753
 8473533, 8475753
8477496, 8471804
8477496, 8476437
8477496, 8474135
8477496, 8468493
 8471804, 8476437
 8471804, 8474135
 8471804, 8468493
 8476437, 8474135
 8476437, 8468493
 8474135, 8468493
8473986, 8476975
8473986, 8477494
8473986, 8475167
8473986, 8477205
 8476975, 8477494
 8476975, 8475167
 8476975, 8477205
 8477494, 8475167
 8477494, 8477205
 8475167, 8477205
8470595, 8475784
8470595, 8473533
8470595, 8471284
8470595, 8475753
 8475784, 8473533
 8475784, 8471284
 8475784, 8475753
 8473533, 8471284
 8471284, 8475753
8471873, 8470619
8471873, 8476975
8471873, 8474520
 8470619, 8476975
 8470619, 8474520
 8476975, 8474520
8475764, 8475758
8475764, 8474034
8475764, 8470612
8475764, 8475222
 8475758, 8474034
 8475758, 8470612
 8475758, 8475222
 8474034, 8470612
 8474034, 8475222
 8470612, 8475222
8467332, 8475164
8467332, 8473492
8467332, 8470616
8467332, 8475222
 8475164, 8473492
 8475164, 8470616
 8475164, 8475222
 8473492, 8470616
 8473492, 8475222
 8470616, 8475222
8468064, 8471691
8468064, 8473970
8468064, 8475171
8468064, 8469760
 8471691, 8473970
 8471691, 8475171
 8471691, 8469760
 8473970, 8475171
 8473970, 8469760
 8475171, 8469760
8468535, 8462038
8468535, 8476356
8468535, 8476473
8468535, 8471735
 8462038, 8476356
 8462038, 8476473
 8462038, 8471735
 8476356, 8476473
 8476356, 8471735
 8476473, 8471735
8471476, 8474096
8471476, 8474013
8471476, 8471260
8471476, 8471724
 8474096, 8474013
 8474096, 8471260
 8474096, 8471724
 8474013, 8471260
 8474013, 8471724
 8471260, 8471724
8471703, 8475761
8471703, 8467452
8471703, 8474096
8471703, 8474013
 8475761, 8467452
 8475761, 8474096
 8475761, 8474013
 8467452, 8474096
 8467452, 8474013
8470257, 8467890
8470257, 8470655
8470257, 8474145
8470257, 8471698
 8467890, 8470655
 8467890, 8474145
 8467890, 8471698
 8470655, 8474145
 8470655, 8471698
 8474145, 8471698
8470151, 8469473
8470151, 8471817
8470151, 8468505
8470151, 8469760
 8469473, 8471817
 8469473, 8468505
 8469473, 8469760
 8471817, 8468505
 8471817, 8469760
 8468505, 8469760
8470257, 8470151
8470257, 8469760
 8470655, 8470151
 8470655, 8469760
 8470151, 8469760
8471217, 8475279
