play_id,game_id,team_id_for,team_id_against,event,period,periodType,periodTime,dateTime,goals_away,goals_home,description,eventTime,on_ice_for
2014020793_10,2014020793,29.0,26.0,Goal,1,REGULAR,100,2015-02-10 00:11:03,0,1,"Jack Skille (6) Deflected, assists: Artem Anisimov (7), David Savard (12)",100,"[8471681, 8474597, 8467917, 8473573, 8477505]"
2014020793_12,2014020793,26.0,29.0,Goal,1,REGULAR,132,2015-02-10 00:12:09,1,1,"Dwight King (8) Tip-In, assists: Jeff Carter (23), Robyn Regehr (7)",132,"[8475726, 8474100, 8470604, 8474162, 8470121]"
2014020793_44,2014020793,26.0,29.0,Goal,1,REGULAR,481,2015-02-10 00:21:33,2,1,"Tyler Toffoli (15) Wrist Shot, assists: Dwight King (7)",481,"[8474100, 8474162, 8470604, 8470121, 8475726]"
2014020793_180,2014020793,29.0,26.0,Goal,2,REGULAR,856,2015-02-10 01:26:24,2,2,"Scott Hartnell (13) Wrist Shot, assists: Ryan Johansen (30)",2056,"[8474715, 8475793, 8468486, 8475233, 8471677]"
2014020793_185,2014020793,26.0,29.0,Goal,2,REGULAR,934,2015-02-10 01:28:27,3,2,"Jeff Carter (15) Tip-In, assists: Brayden McNabb (14), Jamie McBain (6)",2134,"[8470604, 8474100, 8475726, 8475188, 8473571]"
2014020793_233,2014020793,26.0,29.0,Goal,3,REGULAR,109,2015-02-10 01:59:33,4,2,"Dustin Brown (9) Wrist Shot, assists: Marian Gaborik (15), Brayden McNabb (15)",2509,"[8475188, 8473571, 8470606, 8468483, 8471685]"
2014020793_293,2014020793,29.0,26.0,Goal,3,REGULAR,1087,2015-02-10 02:28:02,4,3,"David Savard (8) Snap Shot, assists: Nick Foligno (29), Jack Johnson (21)",3487,"[8473422, 8473573, 8475233, 8475793, 8471677, 8471273]"
2014020700_6,2014020700,12.0,14.0,Goal,1,REGULAR,22,2015-01-28 00:40:41,0,1,"Eric Staal (16) Backhand, assists: Jordan Staal (6)",22,"[8471284, 8470595, 8473482, 8473533, 8475753]"
2014020700_37,2014020700,12.0,14.0,Goal,1,REGULAR,365,2015-01-28 00:48:53,0,2,"Nathan Gerbe (5) Wrist Shot, assists: Elias Lindholm (11), Brett Bellemore (4)",365,"[8477496, 8471804, 8476437, 8474135, 8468493]"
2014020700_81,2014020700,14.0,12.0,Goal,1,REGULAR,845,2015-01-28 01:05:49,1,2,"Cedric Paquette (6) Deflected, assists: Jonathan Drouin (17), Andrej Sustr (6)",845,"[8473986, 8476975, 8477494, 8475167, 8477205]"
2014020700_156,2014020700,12.0,14.0,Goal,2,REGULAR,507,2015-01-28 01:49:38,1,3,"Justin Faulk (9) Wrist Shot, assists: Jordan Staal (7)",1707,"[8470595, 8475784, 8473533, 8471284, 8475753]"
2014020700_180,2014020700,14.0,12.0,Goal,2,REGULAR,846,2015-01-28 01:59:45,2,3,"Brian Boyle (10) Backhand, assists: none",2046,"[8471873, 8470619, 8476975, 8474520]"
2014020700_242,2014020700,12.0,14.0,Goal,3,REGULAR,473,2015-01-28 02:40:34,2,4,"Jiri Tlusty (12) Wrist Shot, assists: Justin Faulk (19), Eric Staal (14)",2873,"[8471284, 8470595, 8473482, 8473533, 8475753]"
2014020201_43,2014020201,24.0,53.0,Goal,1,REGULAR,302,2014-11-08 03:17:23,0,1,"Ryan Getzlaf (4) Slap Shot, assists: Sami Vatanen (6), Devante Smith-Pelly (3)",302,"[8475764, 8475758, 8474034, 8470612, 8475222]"
2014020201_64,2014020201,24.0,53.0,Goal,1,REGULAR,529,2014-11-08 03:24:41,0,2,"Matt Beleskey (7) Wrist Shot, assists: Jakob Silfverberg (6), Ryan Kesler (7)",529,"[8467332, 8475164, 8473492, 8470616, 8475222]"
2014020201_168,2014020201,53.0,24.0,Goal,2,REGULAR,235,2014-11-08 04:09:04,1,2,"Rob Klinkhammer (3) Tip-In, assists: Martin Hanzal (6), Martin Erat (3)",1435,"[8468064, 8471691, 8473970, 8475171, 8469760]"
2014020201_174,2014020201,53.0,24.0,Goal,2,REGULAR,293,2014-11-08 04:10:31,2,2,"Shane Doan (4) Snap Shot, assists: Antoine Vermette (7), Keith Yandle (10)",1493,"[8468535, 8462038, 8476356, 8476473, 8471735]"
2014021092_161,2014021092,5.0,19.0,Goal,2,REGULAR,521,2015-03-25 00:15:25,0,1,"Blake Comeau (16) Wrist Shot, assists: Daniel Winnik (22), Nick Spaling (15)",1721,"[8471476, 8474096, 8474013, 8471260, 8471724]"
2014021092_165,2014021092,5.0,19.0,Goal,2,REGULAR,538,2015-03-25 00:16:24,0,2,"Steve Downie (13) Wrist Shot, assists: Nick Spaling (16)",1738,"[8471703, 8475761, 8467452, 8474096, 8474013]"
2014021092_193,2014021092,19.0,5.0,Goal,2,REGULAR,892,2015-03-25 00:28:26,1,2,"Robert Bortuzzo (3) Snap Shot, assists: T.J. Oshie (32), Barret Jackman (13)",2092,"[8470257, 8467890, 8470655, 8474145, 8471698]"
2014021092_213,2014021092,19.0,5.0,Goal,2,REGULAR,1044,2015-03-25 00:34:55,2,2,"Marcel Goc (3) Wrist Shot, assists: Ryan Reaves (6), Steve Ott (9)",2244,"[8470151, 8469473, 8471817, 8468505, 8469760]"
