id,degree
8471681,24
 8474597,74
 8467917,52
 8473573,80
 8477505,53
8475726,14
 8474100,76
 8470604,300
 8474162,251
 8470121,137
8474100,60
 8475726,245
8474715,88
 8475793,361
 8468486,307
 8475233,276
 8471677,343
8470604,41
 8475188,88
 8473571,72
8475188,108
 8470606,129
 8468483,285
 8471685,190
8473422,62
 8471273,120
8471284,118
 8470595,208
 8473482,156
 8473533,129
 8475753,319
8477496,67
 8471804,157
 8476437,220
 8474135,56
 8468493,180
8473986,196
 8476975,75
 8477494,141
 8475167,366
 8477205,171
8470595,60
 8475784,154
 8471284,128
8471873,198
 8470619,116
 8474520,292
8475764,149
 8475758,117
 8474034,260
 8470612,426
 8475222,367
8467332,12
 8475164,239
 8473492,218
 8470616,347
8468064,51
 8471691,109
 8473970,81
 8475171,307
 8469760,159
8468535,152
 8462038,246
 8476356,140
 8476473,68
 8471735,352
8471476,88
 8474096,131
 8474013,181
 8471260,91
 8471724,350
8471703,24
 8475761,52
 8467452,165
8470257,178
 8467890,92
 8470655,269
 8474145,75
 8471698,298
8470151,36
 8469473,51
 8471817,52
 8468505,69
 8470151,211
8471217,215
 8475279,72
 8471218,272
 8473412,265
 8470834,300
8475169,12
 8476460,265
 8473564,231
8474061,12
 8476885,210
 8469531,92
 8470289,56
 8474001,23
8475279,28
 8469501,56
 8474094,60
 8476392,75
8474135,44
 8477496,158
8473682,20
 8470543,170
 8475155,251
8470543,184
 8474091,75
8474034,43
 8471504,91
8475151,80
 8470886,137
 8473933,100
8474602,45
 8466333,106
 8468611,95
 8476454,301
 8475752,20
8466333,60
 8475791,205
 8473962,218
 8473507,198
8470775,31
 8475764,261
8468478,12
 8476851,116
 8475848,260
 8469521,299
 8474056,479
8477850,32
 8474618,255
 8470598,272
 8469506,190
 8475798,276
8474189,23
 8471283,85
 8478137,104
 8471296,132
 8468478,54
8476470,24
 8470104,227
 8474189,153
8469707,12
 8471976,265
 8474157,341
8476881,37
 8470613,262
 8470794,276
 8466138,341
 8477509,70
8467338,155
 8473446,134
 8470699,193
 8471718,63
8473446,61
 8476455,275
 8475168,271
 8475158,327
8474739,16
 8474027,197
 8474053,282
 8471709,224
 8466139,350
8473564,19
 8474074,91
 8471385,61
 8471217,149
 8474571,139
8471218,107
 8470828,266
 8474567,200
8469501,28
 8473618,211
 8470614,157
8473412,23
 8468064,153
8474578,28
 8474068,340
 8470760,174
 8475913,323
 8470599,187
8471717,57
 8471262,124
 8467967,135
 8470626,277
 8476792,269
8473473,20
 8477956,117
 8475727,96
 8469619,185
 8474749,82
8475163,101
 8467330,124
 8474578,495
 8473588,122
8465009,8
 8470638,265
8476879,66
 8476419,90
8471262,145
 8473473,247
 8476462,260
8471676,162
 8476477,16
 8476879,172
 8476459,264
 8474605,207
8473468,48
 8474697,163
8476432,68
 8474715,137
 8470222,229
 8475246,207
8474161,36
 8468309,375
 8473512,270
 8475170,113
 8474190,285
8475233,58
 8473422,346
8475170,203
 8474161,384
 8476461,222
8470222,58
8476453,164
 8476292,433
 8474870,477
 8476300,125
8476455,58
 8477492,212
 8467331,70
 8474207,157
 8470317,144
 8475197,371
8467331,84
 8462042,263
 8470171,115
 8474743,169
8474870,28
 8476453,371
 8473986,142
 8477902,53
 8470750,148
8475792,52
 8470047,352
8474520,71
8473994,124
 8475794,348
 8476116,123
 8458951,100
8471274,95
 8474818,172
 8473994,314
 8467396,151
8473536,32
 8476881,177
 8471311,71
 8469455,301
 8470110,300
 8474849,77
8474053,102
8470613,172
 8473536,84
8466160,36
 8476806,60
8476975,28
 8475462,60
 8476480,87
 8471339,325
 8474564,456
 8466142,101
 8475148,80
8468486,40
8477494,45
 8470640,214
8475148,8
 8476207,20
8471339,58
 8474685,131
8467917,12
 8471681,24
 8475808,20
 8471873,310
8475153,20
 8468001,44
 8475790,148
 8470176,108
 8470039,181
8477932,190
 8477493,150
 8476456,242
 8469638,218
 8468504,137
 8466285,276
8471735,79
 8468535,128
8473673,56
 8474628,155
 8471232,92
8476624,45
 8466158,119
 8474739,177
8477509,4
 8471956,47
 8476442,151
8476473,43
 8474040,242
8476381,110
 8473604,398
 8466148,396
 8470607,330
 8469544,284
8467389,132
 8471346,177
 8471879,8
 8465058,164
8475755,36
 8474000,36
 8470105,68
 8476389,134
8474027,28
8473571,12
 8476871,100
 8473453,127
8474563,72
8471685,131
 8474563,371
8471816,43
 8475716,71
 8474586,238
 8471678,87
8475165,36
 8474602,325
 8469485,157
 8476855,177
8470602,55
 8473548,289
 8475098,300
 8474037,213
 8474113,8
8476443,4
 8474090,111
 8470778,68
 8474168,54
 8476822,118
8470318,26
 8475772,249
 8475193,312
 8468509,378
8470655,92
 8474031,343
 8475765,381
 8475768,208
 8474565,217
8477215,150
 8468083,296
 8470724,210
 8467514,357
8476808,53
 8475220,106
 8475235,79
 8477507,165
 8477499,171
 8469469,88
 8473466,64
 8470601,110
 8471269,131
8470378,50
 8467407,132
 8470852,169
 8471338,119
8476461,16
8471657,47
 8474008,12
8471346,32
 8467389,181
 8470281,495
 8474141,435
8462042,44
8474207,54
 8471657,62
8474641,170
 8475750,147
 8469500,214
 8467351,189
 8470609,173
8471240,8
 8468526,110
 8468508,243
8469623,53
 8467899,64
 8460542,145
 8471233,191
 8472382,187
8476457,40
 8464977,59
 8467545,118
8472382,36
 8476457,110
 8475325,44
 8470617,72
 8474166,95
 8474627,268
 8470654,48
8473449,24
 8475314,118
 8475166,375
 8473565,130
 8475181,346
8473504,61
 8470144,162
 8468598,184
 8471362,95
 8474066,204
8467890,82
 8471761,100
 8470257,219
8471698,28
 8473534,149
 8471669,282
8475177,32
 8474659,23
 8474709,112
 8473449,267
8475768,100
8476440,12
 8471664,128
 8474577,124
 8469770,312
 8471729,452
8474577,45
 8470162,119
8475455,58
8470794,127
 8477922,129
 8475455,124
8470201,160
 8470966,255
 8474673,379
 8476346,394
 8474150,160
8470966,29
 8474038,96
 8477497,404
8475758,36
8470358,104
 8470274,139
 8474009,186
 8469465,192
 8469598,180
8473573,79
8477244,4
 8476888,44
8473914,23
 8475214,40
8475728,24
 8474589,232
 8474774,92
 8469492,171
8476235,40
 8475745,125
 8470600,395
8474600,35
 8470642,356
 8467371,371
 8473537,49
 8476887,260
8475714,70
 8464989,151
 8474600,397
8475745,136
 8476856,189
 8475799,241
 8473485,130
8476856,44
 8470610,357
 8476923,122
8469547,24
 8475199,114
 8471748,64
8474218,50
8471385,67
8471226,52
 8474574,289
8476439,32
 8474218,175
 8467423,138
8476463,44
8474571,20
8473992,12
 8477850,72
 8475722,96
 8469459,306
8469664,44
 8471231,57
 8473673,84
8469506,186
8475225,147
 8467370,218
8475199,68
 8448208,253
8474569,110
 8471707,305
 8475218,226
 8473658,76
8464989,24
 8477495,251
 8475225,183
8471675,15
8473533,18
 8476465,95
 8474661,70
8474089,28
 8469508,115
8475753,29
 8475250,68
 8474089,44
 8470120,69
 8474062,147
8475250,64
8475761,28
 8465166,31
 8470302,58
8473419,114
 8476495,56
 8465009,226
8473512,139
8475793,23
8471677,39
 8474130,28
8474584,28
 8476177,136
 8474098,72
 8468635,48
 8469759,134
8469455,44
